Upstream G:A:V,Downstream G:A:V
org.opencms:opencms-core:8.5.0,org.opencms:langdetect-opencms:1.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.event:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.flexible:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.flower:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.infobox:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.list:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.login:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.news:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.search:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.solr:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.subscription:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.template3:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.template3.demo:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.template3.demo.shared:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.textblock:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:com.alkacon.opencms.v8.twitter:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.config:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.containerpage:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.contenteditor:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.editprovider:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.galleries:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.postupload:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.properties:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.publish:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.sitemap:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.ade.upload:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.dev.demo:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.dev.demo.content:8.5.0
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.dev.demo.customwidget:8.5.1
org.opencms:opencms-core:8.5.0,org.opencms.modules:org.opencms.editors:8.5.1
