CVE_ID,PATCH,G:A:V
CVE-2013-4600,https://github.com/alkacon/opencms-core/commit/72a05e3ea1cf692e2efce002687272e63f98c14a,org.opencms:opencms-core:8.5.0
CVE-2018-3831,https://github.com/elastic/elasticsearch/commit/cfe3d9f611a328cfffc18b445b3aecb016349514,org.elasticsearch:elasticsearch:5.3.0
CVE-2013-4310,https://github.com/apache/struts/commit/0c8366cb792227d484b9ca13e537037dd0cb57dc,org.apache.struts:struts2-core:2.1.8.1
CVE-2018-1000615,https://github.com/opennetworkinglab/onos/commit/1a783729a1d7e0cd59d59a8dd3a73cdd6ac0f30d,org.onosproject:onos-ovsdb-rfc:1.6.0
CVE-2022-23596,https://github.com/junrar/junrar/commit/7b16b3d90b91445fd6af0adfed22c07413d4fab7,com.github.junrar:junrar:0.7
CVE-2021-39154,https://github.com/x-stream/xstream/commit/652d72f38b33938c54fd3b2ef626cb7dce38001c,com.thoughtworks.xstream:xstream:1.4.11.1
CVE-2019-16943,https://github.com/FasterXML/jackson-databind/commit/54aa38d87dcffa5ccc23e64922e9536c82c1b9c8,com.fasterxml.jackson.core:jackson-databind:2.9.8
CVE-2012-0838,https://github.com/apache/struts/commit/b4265d369dc29d57a9f2846a85b26598e83f3892;https://github.com/apache/struts/commit/5f54b8d087f5125d96838aafa5f64c2190e6885b,org.apache.struts.xwork:xwork-core:2.2.3
CVE-2020-26217,https://github.com/x-stream/xstream/commit/0fec095d534126931c99fd38e9c6d41f5c685c1a,com.thoughtworks.xstream:xstream:1.4.13
CVE-2020-24301,https://github.com/jamesagnew/hapi-fhir/commit/adb3734fcbbf9a9165445e9ee5eef168dbcaedaf,ca.uhn.hapi.fhir:hapi-fhir-testpage-overlay:5.0.2
CVE-2021-37714,https://github.com/jhy/jsoup/commit/d2c455c94a3aaaca29d8cec6bd53ee9824622b51,org.jsoup:jsoup:1.13.1
CVE-2019-3888,https://github.com/undertow-io/undertow/commit/20cacc96c0594f4f4f9bb1cc2b93a77b6be3f74c;https://github.com/undertow-io/undertow/commit/9bf05b765e222dd106fee9b46314061b18b7275e,io.undertow:undertow-core:1.4.20.Final
CVE-2021-44832,https://github.com/apache/logging-log4j2/commit/05db5f9527254632b59aed2a1d78a32c5ab74f16,org.apache.logging.log4j:log4j-core:2.13.3
CVE-2019-17569,https://github.com/apache/tomcat/commit/b191a0d,org.apache.tomcat:tomcat-coyote:7.0.99
CVE-2020-9492,https://github.com/apache/hadoop/commit/28715b584ab25dedc600cc2d5d22866865026bf7,org.apache.hadoop:hadoop-hdfs-client:2.8.5
CVE-2017-12626,https://github.com/apache/poi/commit/cd6236c74b55763a27e3e9b5f269c28bc9c98419;https://github.com/apache/poi/commit/c7db66a30dfb6cbbd5812ff3ae4c90ed2d9b9a27;https://github.com/apache/poi/commit/a07ed9e86474da98f204efadfd5b9327009a0d21;https://github.com/apache/poi/commit/df3910135fd9c442b4e746e4b156362fd2e8d755,org.apache.poi:poi:3.15
CVE-2021-25329,https://github.com/apache/tomcat/commit/6d66e99ef85da93e4d2c2a536ca51aa3418bfaf4,org.apache.tomcat:tomcat-catalina:10.0.0
CVE-2020-36282,https://github.com/rabbitmq/rabbitmq-jms-client/commit/f647e5dbfe055a2ca8cbb16dd70f9d50d888b638,com.rabbitmq.jms:rabbitmq-jms:2.1.1
CVE-2017-15693,https://github.com/apache/geode/commit/a2bd5788d0b0728d91d551ddaac878b336d7892a,org.apache.geode:geode-core:1.2.1
CVE-2014-0050,https://github.com/apache/commons-fileupload/commit/c61ff05b3241cb14d989b67209e57aa71540417a;https://github.com/apache/commons-fileupload/commit/60c71bb5ddb709808e1a855e8299b5f5ad617aa5,commons-fileupload:commons-fileupload:1.2.1
CVE-2020-11996,https://github.com/apache/tomcat/commit/9a0231683a77e2957cea0fdee88b193b30b0c976,org.apache.tomcat:tomcat-coyote:9.0.35
CVE-2018-1339,https://github.com/apache/tika/commit/ffb48dd29d0c2009490caefda75e5b57c7958c51,org.apache.tika:tika-parsers:1.17
CVE-2017-12196,https://github.com/undertow-io/undertow/commit/facb33a5cedaf4b7b96d3840a08210370a806870;https://github.com/undertow-io/undertow/commit/8804170ce3186bdd83b486959399ec7ac0f59d0f,io.undertow:undertow-core:1.4.18.Final
CVE-2017-15696,https://github.com/apache/geode/commit/37a897027074d4f160a5f96cd171ac384fa1b6df,org.apache.geode:geode-core:1.2.1
CVE-2020-25711,https://github.com/infinispan/infinispan/commit/37ddb6daa47e92047556e96339e16e154bf1d81e,org.infinispan:infinispan-server-runtime:11.0.5.Final
CVE-2016-1182,https://github.com/kawasima/struts1-forever/commit/eda3a79907ed8fcb0387a0496d0cb14332f250e8,struts:struts:1.2.9
CVE-2012-4386,https://github.com/apache/struts/commit/a1ca307981b0930d1687ed89f0b7305af79da0f3;https://github.com/apache/struts/commit/1081c52be93abfd2f33ba8453c676e3edcedec8b,org.apache.struts:struts2-core:2.1.8.1
CVE-2013-4322,https://github.com/apache/tomcat/commit/85db6e85d8365d312fcb51d8558f83ae91d47893;https://github.com/apache/tomcat/commit/d6a9898;https://github.com/apache/tomcat/commit/b8cb9f5;https://github.com/apache/tomcat80/commit/c806b2fc6b04ca4e928b3467d94f30f20c820d9d,org.apache.tomcat:tomcat-coyote:7.0.27
CVE-2017-15713,https://github.com/apache/hadoop/commit/feb886f2093ea5da0cd09c69bd1360a335335c86,org.apache.hadoop:hadoop-common:0.23.11
